date,time,appliedcurrent,voltage,Cl,TOC,A,B,C,D,activatedcarbon,tensilestrength,elongation,glossiness,Mside,Sside,Curl
06월 10일,2,1.3,4.36,,,537,763,"1,272",187,2.4,35.4,14.2,219,1.18,0.29,1
06월 10일,5,1.3,4.28,,,537,763,"1,272",187,2.4,35.3,16.2,256,1,0.23,0
06월 10일,8,1.3,4.39,19.2,204,537,763,"1,272",187,2.4,35.4,16.3,280,0.97,0.23,3
06월 10일,11,1.3,4.46,,,537,545,"1,272",187,2.4,36.2,15.9,264,1.04,0.28,0
06월 10일,14,1.3,4.46,18.9,214,537,545,"1,272",187,2.4,35.9,14.4,250,0.93,0.23,0
06월 10일,17,1.3,4.46,,,537,545,"1,272",187,2.4,35.8,20.5,243,1.05,0.25,6
06월 10일,20,1.3,4.45,,,537,545,"1,272",187,2.4,37.7,22.6,236,1.11,0.23,8
06월 10일,23,1.3,4.46,19.7,218,537,545,"1,272",187,2.4,36,16,208,1.38,0.26,10
06월 11일,2,1.3,4.47,,,537,545,"1,272",187,2.4,35.8,16.7,213,1.13,0.25,15
06월 11일,5,1.3,4.5,,,537,545,"1,272",187,2.4,,,272,1.01,0.22,5
06월 11일,8,1.3,4.5,18.5,221,537,545,"1,272",187,2.4,36.1,17.8,252,1.1,0.22,8
06월 11일,11,1.3,4.5,,,537,981,"1,272",187,2.4,35.2,15.6,213,1.06,0.23,10
06월 11일,14,1.3,4.52,17.9,227,537,981,"1,272",187,2.4,35.6,17,212,1.07,0.24,9
06월 11일,17,1.3,4.53,,,537,981,"1,272",187,2.4,36.1,16.1,235,0.94,0.23,8
06월 11일,20,1.3,4.52,,,537,981,"1,272",187,2.4,35.8,16.5,241,0.95,0.22,8
06월 11일,23,1.3,4.52,17.3,230,537,981,"1,272",187,2.4,36.2,16.6,224,0.96,0.22,8
06월 12일,2,1.3,4.56,,,537,981,"1,272",187,2.4,36.8,17.8,232,1.1,0.2,5
06월 12일,5,1.3,4.6,,,537,981,"1,272",187,2.4,36.4,16.3,245,1.04,0.23,5
06월 12일,8,1.3,4.65,16.2,231,537,981,"1,272",187,2.4,35.4,15.9,244,1.34,0.24,5
06월 12일,11,1.3,4.69,,,537,981,"1,272",187,2.4,35.4,15.7,270,0.91,0.25,4
06월 12일,14,1.3,4.68,16.9,230,609,763,"1,526",187,2.4,35,14.6,220,1.15,0.24,5
06월 12일,17,1.3,4.7,,,609,763,"1,526",187,2.4,35.6,18,178,1.13,0.23,9
06월 12일,20,1.3,4.72,,,609,763,"1,526",187,2.4,35.1,17.9,176,1.15,0.22,10
06월 12일,23,1.3,4.76,14.8,246,609,763,"1,526",187,2.4,36.2,19.4,168,1.18,0.22,10
06월 13일,2,1.3,4.78,,,609,763,"1,526",187,2.4,36.3,18.7,176,1.18,0.21,9
06월 13일,5,1.3,4.9,,,609,763,"1,526",187,2.4,36.5,19.6,173,1.17,0.22,7
06월 13일,8,1.3,4.9,14.9,240,609,763,"1,526",187,2.4,35.6,17.2,195,1.11,0.25,9
