nSheetID,strLotName,strGrade_Final,Endtime,time
428,20221022_101,A,2022-10-22 10:35,0:09
429,20221022_101,A,2022-10-22 10:37,1:46
430,20221022_101,A,2022-10-22 10:37,0:09
431,20221022_101,A,2022-10-22 10:38,0:46
432,20221022_101,A,2022-10-22 10:38,0:09
433,20221022_101,A,2022-10-22 10:39,0:47
434,20221022_101,A,2022-10-22 10:39,0:09
435,20221022_101,A,2022-10-22 10:40,0:37
436,20221022_101,A,2022-10-22 10:40,0:09
437,20221022_101,A,2022-10-22 10:41,0:39
438,20221022_101,A,2022-10-22 10:41,0:09
439,20221022_101,A,2022-10-22 10:41,0:34
440,20221022_101,A,2022-10-22 10:41,0:09
441,20221022_101,A,2022-10-22 10:42,0:32
442,20221022_101,A,2022-10-22 10:42,0:09
443,20221022_101,A,2022-10-22 10:43,1:12
444,20221022_101,A,2022-10-22 10:44,0:22
445,20221022_101,A,2022-10-22 10:44,0:40
446,20221022_101,A,2022-10-22 10:45,0:10
447,20221022_101,A,2022-10-22 10:45,0:36
448,20221022_101,A,2022-10-22 10:47,1:53
449,20221022_101,A,2022-10-22 10:48,0:42
450,20221022_101,A,2022-10-22 10:48,0:10
451,20221022_101,A,2022-10-22 10:49,0:41
452,20221022_101,A,2022-10-22 10:49,0:09
453,20221022_101,A,2022-10-22 10:49,0:47
454,20221022_101,A,2022-10-22 10:50,0:10
455,20221022_101,A,2022-10-22 10:50,0:37
456,20221022_101,A,2022-10-22 10:50,0:09
457,20221022_101,A,2022-10-22 10:52,1:13
458,20221022_101,A,2022-10-22 10:52,0:09
459,20221022_101,A,2022-10-22 10:52,0:37
460,20221022_101,A,2022-10-22 10:53,0:09
461,20221022_101,A,2022-10-22 10:53,0:31
462,20221022_101,A,2022-10-22 10:53,0:09
463,20221022_101,A,2022-10-22 10:54,0:36
464,20221022_101,A,2022-10-22 10:54,0:09
465,20221022_101,A,2022-10-22 10:55,1:06
466,20221022_101,A,2022-10-22 10:55,0:09
467,20221022_101,A,2022-10-22 10:56,1:01
468,20221022_101,A,2022-10-22 10:56,0:09
469,20221022_101,A,2022-10-22 10:57,0:36
470,20221022_101,A,2022-10-22 10:57,0:09
471,20221022_101,B,2022-10-22 10:58,0:24
472,20221022_101,B,2022-10-22 10:58,0:06
473,20221022_101,B,2022-10-22 11:00,1:55
475,20221022_101,A,2022-10-22 11:00,0:00
476,20221022_101,A,2022-10-22 11:00,0:10
477,20221022_101,A,2022-10-22 11:00,0:39
478,20221022_101,A,2022-10-22 11:01,0:09
479,20221022_101,A,2022-10-22 11:02,1:15
480,20221022_101,A,2022-10-22 11:02,0:09
481,20221022_101,A,2022-10-22 11:03,0:41
482,20221022_101,A,2022-10-22 11:03,0:09
483,20221022_101,A,2022-10-22 11:03,0:30
484,20221022_101,A,2022-10-22 11:03,0:09
485,20221022_101,A,2022-10-22 11:04,0:35
486,20221022_101,A,2022-10-22 11:04,0:09
487,20221022_101,B,2022-10-22 11:05,1:17
488,20221022_101,B,2022-10-22 11:05,0:00
489,20221022_101,A,2022-10-22 11:05,0:00
490,20221022_101,A,2022-10-22 11:08,2:31
491,20221022_101,A,2022-10-22 11:09,0:41
492,20221022_101,A,2022-10-22 11:09,0:09
,,,,
493,20221022_101,A,2022-10-22 11:13,3:55
494,20221022_101,B,2022-10-22 11:13,0:37
495,20221022_101,A,2022-10-22 11:13,0:00
496,20221022_101,A,2022-10-22 11:13,0:09
497,20221022_101,A,2022-10-22 11:14,0:47
498,20221022_101,B,2022-10-22 11:14,0:08
499,20221022_101,A,2022-10-22 11:15,0:31
500,20221022_101,A,2022-10-22 11:15,0:09
501,20221022_101,A,2022-10-22 11:16,0:36
502,20221022_101,A,2022-10-22 11:16,0:09
503,20221022_101,A,2022-10-22 11:17,1:22
504,20221022_101,A,2022-10-22 11:17,0:09
505,20221022_101,A,2022-10-22 11:49,31:19:00
506,20221022_101,A,2022-10-22 11:49,0:09
507,20221022_101,A,2022-10-22 11:49,0:31
508,20221022_101,A,2022-10-22 11:49,0:09
509,20221022_101,A,2022-10-22 11:50,0:30
510,20221022_101,A,2022-10-22 11:50,0:29
511,20221022_101,A,2022-10-22 11:51,0:39
512,20221022_101,A,2022-10-22 11:51,0:09
513,20221022_101,A,2022-10-22 11:52,0:32
514,20221022_101,A,2022-10-22 11:52,0:09
515,20221022_101,A,2022-10-22 11:52,0:35
516,20221022_101,A,2022-10-22 11:53,0:11
517,20221022_101,A,2022-10-22 11:54,0:54
518,20221022_101,A,2022-10-22 11:54,0:09
519,20221022_101,A,2022-10-22 11:54,0:38
520,20221022_101,A,2022-10-22 11:55,0:31
521,20221022_101,A,2022-10-22 11:56,0:58
522,20221022_101,A,2022-10-22 11:56,0:09
523,20221022_101,A,2022-10-22 11:57,1:13
524,20221022_101,A,2022-10-22 11:57,0:09
525,20221022_101,A,2022-10-22 11:58,0:31
526,20221022_101,A,2022-10-22 11:58,0:09
527,20221022_101,B,2022-10-22 12:01,2:44
528,20221022_101,A,2022-10-22 12:01,0:09
529,20221022_101,A,2022-10-22 12:02,0:38
530,20221022_101,A,2022-10-22 12:02,0:10
531,20221022_101,B,2022-10-22 12:03,1:35
532,20221022_101,B,2022-10-22 12:05,1:24
533,20221022_101,A,2022-10-22 12:05,0:00
534,20221022_101,A,2022-10-22 12:05,0:09
535,20221022_101,B,2022-10-22 12:05,0:33
536,20221022_101,A,2022-10-22 12:06,0:09
537,20221022_101,A,2022-10-22 12:06,0:36
